benchmark,parameter,value,N,K,P,bruteforce_ms,optimal_ms,speedup,match
VaryN,N,3,3,2,4,92.43419999984326,36.67620000123861,2.520277455045005,✓
VaryN,N,4,4,2,4,60.57599999985541,33.169400001497706,1.8262615542373455,✓
VaryN,N,5,5,2,4,50.70189999969443,29.60279999933846,1.7127400111079858,✓
VaryN,N,6,6,2,4,51.70709999947576,25.28829999937443,2.044704468104019,✓
VaryN,N,7,7,2,4,46.842699999615434,28.679399998509325,1.6333221755702765,✓
VaryN,N,8,8,2,4,47.8434999986348,23.31909999884374,2.051687243547439,✓
VaryN,N,9,9,2,4,51.311000001078355,23.51500000077067,2.1820540080542936,✓
VaryN,N,10,10,2,4,59.147800000573625,26.784300000144867,2.208301131642556,✓
VaryN,N,11,11,2,4,66.4491999996244,27.77819999937492,2.3921348395907467,✓
VaryN,N,12,12,2,4,95.49020000122255,29.439300000376534,3.243630113487794,✓
VaryN,N,13,13,2,4,114.94219999985944,29.02890000041225,3.959578213374503,✓
VaryN,N,14,14,2,4,118.50670000058017,25.298699998529628,4.68429998408882,✓
VaryN,N,15,15,2,4,132.52769999962766,23.053599999911967,5.7486769962233115,✓
VaryN,N,16,16,2,4,165.22670000085782,26.05279999988852,6.34199395080624,✓
VaryN,N,17,17,2,4,191.59039999976812,26.535200000580517,7.220235762141482,✓
VaryN,N,18,18,2,4,248.64809999962745,28.209799998876406,8.814245404417298,✓
VaryN,N,19,19,2,4,308.840900001087,29.778400001305272,10.371306046918223,✓
VaryN,N,20,20,2,4,375.59610000062094,25.332400000479538,14.826708088989237,✓
VaryN,N,21,21,2,4,424.18329999964044,25.463399999352987,16.65854913367495,✓
VaryN,N,22,22,2,4,514.3668999990041,30.73220000078436,16.73706731004862,✓
VaryN,N,23,23,2,4,588.8780999994196,22.710000001097796,25.93034345975136,✓
VaryN,N,24,24,2,4,694.3137999987812,21.471800000654184,32.336078017568504,✓
VaryP,P,3,5,2,3,35.83250000156113,38.581800001338706,0.9287410126100342,✓
VaryP,P,4,5,2,4,58.4300999998959,40.7989000013913,1.4321489059240162,✓
VaryP,P,5,5,2,5,75.22429999880842,34.84519999983604,2.158813839471789,✓
VaryP,P,6,5,2,6,93.57319999980973,35.94540000085544,2.6032037478393018,✓
VaryP,P,7,5,2,7,265.5180999990989,33.99040000113018,7.811561499431322,✓
VaryP,P,8,5,2,8,1322.8966999995464,27.10990000014135,48.7975499722481,✓
VaryP,P,9,5,2,9,6540.585999999166,25.49410000028729,256.55292792942134,✓
VaryP,P,10,5,2,10,42842.36880000026,28.413500000169734,1507.81736849541,✓
VaryP,P,11,5,2,11,251165.1137000008,49.682699998811586,5055.383739329962,✓
VaryP,P,12,5,2,12,-1.0,21.861500001250533,,?
VaryP,P,13,5,2,13,-1.0,19.46260000113398,,?
VaryP,P,14,5,2,14,-1.0,18.472199999450822,,?
VaryP,P,15,5,2,15,-1.0,21.384499999840045,,?
VaryP,P,16,5,2,16,-1.0,20.540499999697204,,?
VaryP,P,17,5,2,17,-1.0,20.148899999185232,,?
VaryP,P,18,5,2,18,-1.0,24.622500000987202,,?
VaryP,P,19,5,2,19,-1.0,21.524199999475968,,?
VaryP,P,20,5,2,20,-1.0,18.771899998682784,,?
VaryP,P,21,5,2,21,-1.0,17.566900000019814,,?
VaryP,P,22,5,2,22,-1.0,19.44259999982023,,?
VaryP,P,23,5,2,23,-1.0,23.046799999065115,,?
VaryP,P,24,5,2,24,-1.0,27.08820000043488,,?
VaryK,K,1,6,1,5,75.25860000168905,18.83310000084748,3.9960813672896363,✓
VaryK,K,2,6,2,5,55.3118000007089,19.750800000110758,2.800484031046779,✓
VaryK,K,3,6,3,5,64.33110000034503,18.142200000511366,3.54593709685329,✓
VaryK,K,4,6,4,5,55.18550000124378,20.857599998635123,2.6458221465966845,✓
VaryK,K,5,6,5,5,61.25840000095195,28.572600000188686,2.143956097819149,✓
VaryK,K,6,6,6,5,56.423699999868404,18.61079999980575,3.0317718744200857,✓
VaryK,K,7,6,7,5,55.871600001410116,19.697499999892898,2.8364817871158223,✓
VaryK,K,8,6,8,5,56.186499999967054,19.095100000413368,2.942456441639517,✓
VaryK,K,9,6,9,5,75.76650000009977,19.54959999966377,3.875603592984146,✓
VaryK,K,10,6,10,5,54.146899999977904,18.198499999925843,2.9753496167375633,✓
VaryK,K,11,6,11,5,57.906699999875855,31.27949999907287,1.8512668041877978,✓
VaryK,K,12,6,12,5,60.52070000077947,19.923699999708333,3.0376235338649673,✓
VaryK,K,13,6,13,5,54.009199999200064,18.572599999970407,2.9080042643079653,✓
VaryK,K,14,6,14,5,60.90140000014799,23.50769999975455,2.590700068521543,✓
VaryK,K,15,6,15,5,58.20110000058776,19.18409999962023,3.033819673674549,✓
VaryK,K,16,6,16,5,54.453700000522076,17.230100000233506,3.160382121971672,✓
VaryK,K,17,6,17,5,56.99349999849801,28.513000001112232,1.9988601689150498,✓
VaryK,K,18,6,18,5,62.753099999099504,19.54729999852134,3.2103206071348205,✓
VaryK,K,19,6,19,5,63.41450000036275,21.592400000372436,2.9368898315735605,✓
VaryK,K,20,6,20,5,67.08869999965827,28.219499999977415,2.3773879763890915,✓
VaryK,K,21,6,21,5,58.77169999985199,22.26639999935287,2.639479215390008,✓
VaryK,K,22,6,22,5,65.40589999895019,21.28390000143554,3.073022331177028,✓
VaryK,K,23,6,23,5,68.98779999937688,30.12999999918975,2.289671423870962,✓
VaryK,K,24,6,24,5,60.58850000044913,23.09910000076343,2.622980981875773,✓
